27.465,-1.3661,0.11812
27.47,-1.3909,0.16971
27.475,-1.3741,0.22687
27.48,-1.3951,0.27084
27.485,-1.4589,0.26823
27.49,-1.4976,0.19588
27.495,-1.4531,0.073074
27.5,-1.3388,-0.043585
27.505,-1.2313,-0.11453
27.51,-1.2124,-0.15994
27.515,-1.3055,-0.22578
27.52,-1.4562,-0.30771
27.525,-1.5815,-0.33608
27.53,-1.6411,-0.24871
27.535,-1.6542,-0.058723
27.54,-1.6516,0.16237
27.545,-1.6422,0.34713
27.55,-1.6321,0.46027
27.555,-1.6394,0.48952
27.56,-1.6596,0.44507
27.565,-1.6477,0.36274
27.57,-1.5753,0.273
27.575,-1.494,0.15795
27.58,-1.4906,-0.036085
27.585,-1.5765,-0.33072
27.59,-1.6656,-0.67642
27.595,-1.6779,-0.99112
27.6,-1.6215,-1.2226
27.605,-1.5472,-1.3626
27.61,-1.4609,-1.4184
27.615,-1.3241,-1.3966
27.62,-1.1232,-1.313
27.625,-0.88887,-1.197
27.63,-0.65147,-1.0745
27.635,-0.4122,-0.95074
27.64,-0.15995,-0.81171
27.645,0.11977,-0.63803
27.65,0.45616,-0.41022
27.655,0.87111,-0.10774
27.66,1.3234,0.27982
27.665,1.707,0.72613
27.67,1.9372,1.155
27.675,2.0286,1.4693
27.68,2.0624,1.6066
27.685,2.0887,1.5681
27.69,2.0867,1.3998
27.695,2.0165,1.1545
27.7,1.8767,0.8706
27.705,1.6999,0.55636
27.71,1.5087,0.17667
27.715,1.2958,-0.32177
27.72,1.0496,-0.93191
27.725,0.79177,-1.5345
27.73,0.57341,-1.9632
27.735,0.41741,-2.1377
27.74,0.26868,-2.1098
27.745,0.038626,-1.9698
27.75,-0.27442,-1.7407
27.755,-0.53862,-1.3896
27.76,-0.61675,-0.91561
27.765,-0.54376,-0.38679
27.77,-0.52107,0.10743
27.775,-0.70236,0.51004
27.78,-1.0237,0.80813
27.785,-1.2899,1.0217
27.79,-1.4048,1.1865
27.795,-1.4571,1.3217
27.8,-1.583,1.4043
27.805,-1.8064,1.3872
27.81,-2.0481,1.2502
27.815,-2.244,1.0197
27.82,-2.3991,0.74363
27.825,-2.5407,0.4684
27.83,-2.6737,0.24154
27.835,-2.7992,0.10344
27.84,-2.9364,0.055223
27.845,-3.0949,0.056678
27.85,-3.2416,0.080879
27.855,-3.3285,0.15708
27.86,-3.3585,0.33161
27.865,-3.4017,0.591
27.87,-3.5296,0.8539
27.875,-3.7353,1.0495
27.88,-3.9297,1.1848
27.885,-4.0223,1.3171
27.89,-4.0069,1.4661
27.895,-3.9636,1.568
27.9,-3.9759,1.5212
27.905,-4.0483,1.2736
27.91,-4.1124,0.86373
27.915,-4.1114,0.38178
27.92,-4.0635,-0.09565
27.925,-4.0357,-0.53029
27.93,-4.0611,-0.90189
27.935,-4.0968,-1.1926
27.94,-4.0613,-1.3977
27.945,-3.8982,-1.5317
27.95,-3.598,-1.612
27.955,-3.1712,-1.6462
27.96,-2.6291,-1.6419
27.965,-2.0041,-1.6101
27.97,-1.375,-1.5416
27.975,-0.8353,-1.392
